country,needed,delivered,remaining,in_transit,school_count,total_students,unmet_pct
Uganda,3112,980,2094,61,162,33104,67.3
Tanzania,1973,655,1245,79,90,34230,63.1
Congo (Kinshasa),1503,244,1213,50,47,29608,80.7
Spain,2855,1627,1087,251,161,26996,38.1
Ghana,1881,808,1025,68,69,32876,54.5
Cameroon,1359,358,942,64,52,19535,69.3
Nigeria,1238,272,939,27,36,15295,75.8
Kenya,1018,332,672,20,63,18829,66.0
Morocco,573,188,368,19,29,7965,64.2
Senegal,993,639,315,60,31,31565,31.7
Namibia,515,155,307,53,20,4730,59.6
South Africa,580,275,307,20,27,9118,52.9
India,639,333,302,5,40,13063,47.3
Zambia,744,446,298,0,26,19126,40.1
Germany,1034,732,297,5,20,1884,28.7
Nepal,678,390,295,3,53,9881,43.5
Mexico,377,82,295,2,28,1523,78.2
Burkina Faso,349,76,273,0,13,6213,78.2
Sierra Leone,511,174,258,79,22,5783,50.5
Ethiopia,352,99,255,10,13,11347,72.4
Malawi,515,264,244,15,23,17483,47.4
Togo,938,690,220,28,26,16909,23.5
Bolivia,289,99,188,4,16,4353,65.1
Cambodia,230,54,168,8,12,6447,73.0
Greece,424,343,163,25,15,9596,38.4
Uruguay,140,2,138,0,1,150,98.6
Peru,178,46,125,7,7,983,70.2
Benin,165,41,121,7,9,1143,73.3
Romania,329,211,118,0,9,3243,35.9
Turkey,117,6,107,4,10,427,91.5
Brazil,202,109,93,0,6,1812,46.0
Philippines,134,44,90,0,8,1635,67.2
Macedonia,95,13,82,0,2,934,86.3
Colombia,140,48,80,12,12,3635,57.1
Guatemala,97,5,73,19,5,375,75.3
Mongolia,324,254,70,0,17,8021,21.6
Zimbabwe,126,19,62,45,7,1367,49.2
Switzerland,72,11,61,0,3,89,84.7
Ivory Coast,68,8,60,0,4,554,88.2
Pakistan,74,15,59,0,4,371,79.7
Laos,140,82,56,2,4,1709,40.0
Tonga,200,146,54,0,1,0,27.0
Thailand,147,86,52,9,6,2136,35.4
Algeria,97,19,50,33,5,1626,51.5
Albania,105,57,48,0,4,1124,45.7
Indonesia,62,15,47,0,2,174,75.8
Burundi,125,80,45,0,4,2000,36.0
Syria,91,48,44,0,5,575,48.4
Mozambique,94,44,44,6,6,33577,46.8
Kyrgyzstan,47,5,42,0,4,3178,89.4
United States,75,33,42,0,3,42,56.0
Myanmar,70,29,41,0,10,545,58.6
Iraq,40,0,40,0,1,120,100.0
Armenia,45,5,40,0,3,396,88.9
Bangladesh,40,2,38,0,2,1390,95.0
Lebanon,81,23,38,20,2,540,46.9
Venezuela,57,6,37,46,6,3190,64.9
Afghanistan,63,28,35,0,3,1322,55.6
Honduras,45,5,35,5,3,800,77.8
Gambia,119,65,35,24,10,2475,29.4
Ecuador,59,16,34,9,5,730,57.6
Jordan,35,0,31,4,1,23,88.6
Guinea,79,51,31,0,4,1324,39.2
Somalia,83,52,30,1,3,3830,36.1
Marshall Islands,30,0,30,0,1,364,100.0
Israel,30,0,30,0,1,130,100.0
New Zealand,38,27,27,3,3,0,71.1
Bosnia and Herzegovina,129,104,25,0,6,1913,19.4
Haiti,34,9,25,0,2,661,73.5
Mali,82,57,25,0,4,1840,30.5
South Sudan,25,0,25,0,1,200,100.0
"Hong Kong S.A.R., China",25,2,23,0,4,358,92.0
Liberia,102,102,22,1,4,723,21.6
Vietnam,74,56,22,3,5,684,29.7
Sri Lanka,117,95,22,0,5,886,18.8
China,45,24,21,0,2,550,46.7
Dominican Republic,135,114,21,0,3,27742,15.6
Portugal,30,10,20,0,1,1000,66.7
Angola,105,80,20,5,2,1440,19.0
Belize,74,30,19,25,4,530,25.7
Nicaragua,43,29,15,2,4,753,34.9
Gabon,25,10,15,0,1,100,60.0
South Korea,20,5,15,0,1,65,75.0
xx,34,21,13,0,2,2279,38.2
Paraguay,22,9,13,0,2,234,59.1
Russia,20,9,11,0,1,211,55.0
Hungary,22,11,11,0,1,152,50.0
United Kingdom,20,10,10,0,1,20,50.0
Argentina,11,0,9,2,1,9,81.8
Costa Rica,25,13,7,5,4,158,28.0
Cape Verde,9,3,6,0,2,9,66.7
Madagascar,62,46,6,10,2,1150,9.7
Georgia,15,9,6,0,1,107,40.0
Austria,11,6,5,0,3,1343,45.5
Western Sahara,19,14,5,0,2,0,26.3
Chile,6,2,4,0,2,135,66.7
France,25,22,3,0,1,25,12.0
Belarus,5,2,3,0,1,25,60.0
Serbia,40,37,3,0,1,743,7.5
Ireland,5,4,1,0,1,80,20.0
Congo (Brazzaville),30,30,0,0,1,740,0.0
Guinea-Bissau,41,21,0,20,2,400,0.0
Tunisia,35,44,0,0,1,35,0.0
Denmark,2,0,0,2,1,6,0.0
Ukraine,15,0,0,16,1,118,0.0
Italy,20,21,0,0,1,20,0.0
Mauritania,19,19,0,0,2,100,0.0
El Salvador,12,12,0,0,1,100,0.0
