country,trips_received
Uganda,396
Ghana,297
Tanzania,239
Kenya,134
Congo (Kinshasa),130
South Africa,102
Cameroon,96
Nigeria,84
India,81
Senegal,77
Togo,53
Namibia,50
Morocco,45
Nepal,43
Zambia,41
Brazil,35
Ukraine,35
Malawi,34
Bosnia and Herzegovina,33
Ethiopia,31
Bolivia,30
Sierra Leone,28
Thailand,27
Gambia,25
Burundi,23
Colombia,18
Greece,18
Sri Lanka,17
Angola,16
Albania,16
Mali,15
Zimbabwe,14
Guinea,14
Cape Verde,13
Turkey,12
Mozambique,12
Vietnam,12
Cambodia,11
Myanmar,10
Burkina Faso,10
Liberia,10
Armenia,9
Peru,9
Mongolia,8
Romania,8
Haiti,8
Iraq,8
Lebanon,8
Congo (Brazzaville),8
Vanuatu,8
Pakistan,8
Ecuador,8
Mauritania,7
Afghanistan,7
Guatemala,7
Benin,7
Sudan,7
Spain,6
Costa Rica,6
France,6
Georgia,6
Laos,6
Swaziland,6
Indonesia,6
Syria,5
Mexico,5
United States,5
Italy,5
Madagascar,4
United Kingdom,4
Belarus,4
Algeria,4
Philippines,3
xx,3
Bangladesh,3
Hungary,3
Chile,3
Paraguay,2
Russia,2
Western Sahara,2
Belgium,2
Ivory Coast,2
Bulgaria,2
Iran,2
Egypt,2
Dominican Republic,2
Cuba,1
Australia,1
China,1
Croatia,1
Gabon,1
Panama,1
Honduras,1
"Hong Kong S.A.R., China",1
Israel,1
Kazakhstan,1
Somalia,1
Macedonia,1
Nicaragua,1
Jordan,1
