Unnamed: 0,hub_name,country,semaphore,needed_active,in_transit,delivered,remaining_active,lon,lat
0,Spain | Barcelona | Labdoo Hub Barcelona @LaSalle,Spain,open,18,1,4,13,2.177073,41.3825802
2,United States | San Jose | Labdoo Hub California (North),United States,open,55,1,41,13,-121.890591,37.3361663
3,United States | Irvine | Labdoo Hub California (South),United States,open,1134,15,576,543,-117.825981,33.6856969
6,Ireland | Galway | Labdoo Hub Galway,Ireland,open,0,0,0,0,-9.0490601,53.2744122
9,Australia | Brighton | Labdoo Hub Melbourne,Australia,open,32,3,48,0,-0.1400561,50.8214626
12,Italy | Rome | Labdoo Hub Rome,Italy,open,242,7,170,65,12.4829321,41.8933203
14,xx | @PlanetEarth | Grassroots,xx,open,1798,74,1757,0,0.0,0.0
16,Spain | Reus | Labdoo School Hub Reus - Institut Baix Camp,Spain,open,7,1,21,0,1.1076133,41.1555564
18,Spain | Vilafranca del Penedes | Labdoo Hub Vilafranca Centre - El Hub de la Gestoria,Spain,open,259,29,193,37,1.6995213,41.3463825
19,Spain | Vilafranca del Penedes | Labdoo School Hub Vilafranca - INS Eugeni d'ORS,Spain,open,31,7,52,0,1.6995213,41.3463825
21,"Mexico | México, D.F. | Labdoo Hub Mexico DF",Mexico,open,113,2,39,72,-99.1514678,19.3207722
22,Mexico | Tepoztlán | Labdoo Hub Tepoztlán,Mexico,open,0,0,1,0,-99.1025453,18.9914959
24,Germany | Dresden | Labdoo Annahmestelle 01309 Dresden (Hub),Germany,open,22,1,36,0,13.7381437,51.0493286
25,Spain | Manresa | Labdoo Hub Manresa,Spain,open,234,52,131,51,1.8286765,41.7288939
26,Spain | Berga | Labdoo Hub Berga,Spain,open,0,5,8,0,5.3259192,60.3943055
28,Albania | Vlora | Labdoo Hub Vlora,Albania,open,0,0,0,0,19.4912716,40.4707602
30,Romania | Bucharest | Labdoo Hub Bucharest,Romania,open,11,0,11,0,26.102684,44.4361414
31,Germany | Aalen | Labdoo Annahmestelle 73431 Aalen (Hub),Germany,open,0,1,16,0,10.0929593,48.8375607
33,Morocco | Casablanca | Labdoo Hub Casablanca,Morocco,open,173,21,74,78,-7.6200284,33.5945144
34,Austria | Kufstein | Labdoo Annahmestelle 6330 Kufstein: kubi - Kufstein Bibliothek für Wissenschaft & Freizeit,Austria,open,4,3,31,0,12.1692134,47.582996
36,Romania | Timisoara | Labdoo Hub Timisoara,Romania,open,0,0,0,0,21.2257474,45.7538355
39,Germany | Lichtenstein | Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),Germany,open,384,0,332,52,9.2591169,48.4209332
42,Spain | Vilafranca del Penedes | Labdoo School Hub Vilafranca - Escola Montagut,Spain,open,22,24,47,0,1.6995213,41.3463825
43,Spain | Madrid | Labdoo School Hub Madrid - IES Villablanca,Spain,open,157,24,74,59,-3.703507,40.416782
46,Germany | Wuppertal-Barmen | Labdoo Annahmestelle 42287 Wuppertal-Barmen (Hub),Germany,open,141,41,640,0,7.1951992,51.2670229
47,Germany | München | Labdoo Annahmestelle 80804 München (Hub),Germany,open,2449,129,2031,289,11.5753822,48.1371079
48,Spain | Barcelona | Labdoo School Hub Barcelona - Aula Escola Europea,Spain,open,123,0,124,0,2.177073,41.3825802
50,Spain | Hondarribia | Labdoo Hub Hondarribia - Euskadi,Spain,open,3,2,4,0,-1.7914309,43.3624468
54,Germany | Berlin | Labdoo Annahmestelle 12051 Berlin: Wertraum | Die Wille gGmbH,Germany,open,257,16,316,0,13.3951309,52.5173885
56,Austria | Reichenthal | Labdoo Hub Mühlviertel (OÖ),Austria,open,25,0,20,5,14.3849807,48.5434585
57,Germany | Nürnberg | Labdoo Annahmestelle 90402 Nürnberg (Hub),Germany,open,312,30,342,0,11.077298,49.453872
61,Spain | Vilafranca del Penedès | Labdoo School Hub Vilafranca - Col·legi Vedruna Sant Elies,Spain,open,218,41,398,0,1.6995213,41.3463825
63,Germany | Bremen | Labdoo Annahmestelle 28215 Bremen (Hub),Germany,open,171,7,347,0,8.8071646,53.0758196
65,Germany | Mülheim an der Ruhr | Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),Germany,open,33229,836,26276,6117,6.8829192,51.4272925
66,Austria | Salzburg | Labdoo Hub Salzburg,Austria,open,788,24,823,0,13.0464806,47.7981346
67,Switzerland | Oberwil-Lieli | Labdoo Hub Zürich (Schweiz),Switzerland,open,7521,35,7381,105,8.3843501,47.3338992
71,Spain | Barcelona | Labdoo Hub Barcelona @I2CAT Campus Nord,Spain,open,1368,133,1086,149,2.177073,41.3825802
72,Germany | Soest | Labdoo Annahmestelle 59494 Soest: Kulturhaus Alter Schlachthof,Germany,open,0,2,6,0,8.1061259,51.5725501
73,Germany | Berlin | Labdoo Annahmestelle 12103 Berlin-Schöneberg: AfB gGmbH Shop Berlin,Germany,open,0,24,538,0,13.3951309,52.5173885
74,Germany | Suhl | Labdoo Annahmestelle 98527 Suhl: Frank Hoffmann,Germany,open,0,0,2,0,10.6926437,50.6086518
75,Germany | Dortmund | Labdoo Annahmestelle 44263 Dortmund - Hörde (Phoenixsee),Germany,open,0,0,15,0,7.4652789,51.5142273
76,Germany | Düsseldorf | Labdoo Annahmestelle 40227 Düsseldorf  (Nähe Hauptbahnhof): Dirk Balzer,Germany,open,10,1,88,0,6.7763137,51.2254018
77,Germany | Wuppertal | Labdoo Annahmestelle 42327 Wuppertal: GEPA - The Fair Trade Company,Germany,open,0,3,62,0,7.1780374,51.264018
78,Germany | Essen | Labdoo Annahmestelle 45139 Essen: AfB gGmbH Shop Essen,Germany,open,0,8,753,0,7.0158171,51.4582235
79,Germany | Hannover | Labdoo Annahmestelle 30165 Hannover: AfB gGmbH Shop Hannover,Germany,open,0,29,209,0,9.7385532,52.3744779
80,Germany | Wesel | Labdoo Annahmestelle 46485 Wesel: Stefan Abeln,Germany,open,0,6,29,0,6.617087,51.6576909
81,Germany | Neuenhagen | Labdoo Annahmestelle 15366 Neuenhagen bei Berlin: Holger Höing,Germany,open,0,0,5,0,13.1115253,53.7467873
82,Germany | Ettlingen | Labdoo Annahmestelle 76275 Ettlingen: AfB gGmbH Shop Ettlingen,Germany,open,0,2,222,0,8.4076347,48.9414188
83,Germany | Mülheim an der Ruhr | Labdoo Annahmestelle 45473 Mülheim an der Ruhr: VHS Volkshochschule,Germany,open,0,1,36,0,6.8829192,51.4272925
84,Germany | Hamburg | Labdoo Annahmestelle 21035 Hamburg - Bergedorf:  PC112 PCFeuerwehr GmbH [nach Absprache geöffnet],Germany,open,141,2,261,0,10.0013165,53.5501721
85,Germany | Hamburg | Labdoo Annahmestelle 22761 Hamburg - Bahrenfeld,Germany,open,0,0,55,0,10.0013165,53.5501721
86,Germany | Nürnberg | Labdoo Annahmestelle 90427 Nürnberg: Raphael Seebröker,Germany,open,70,3,67,0,11.077298,49.453872
87,Austria | Putzleinsdorf | Annahmestelle Putzleinsdorf: Judith Fuchs,Austria,open,0,0,0,0,13.8733381,48.5165615
88,Austria | Wien | Annahmestelle Wien Liesing (23. Bezirk): AfB Shop,Austria,open,0,0,1,0,16.3725042,48.2083537
89,Germany | Bonn | Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),Germany,open,1145,52,981,112,7.1024635,50.7352621
90,Germany | Düren | Labdoo Annahmestelle 52353 Düren: AfB gGmbH Shop Düren,Germany,open,0,1,335,0,6.4820806,50.8031684
91,Germany | Köln | Labdoo Annahmestelle 51103 Köln: AfB gGmbH Store Köln,Germany,open,0,0,107,0,6.959974,50.938361
92,Switzerland | Uettligen | Annahmestelle 3043 Uettligen (BE),Switzerland,open,0,0,0,0,7.3860162,46.987784
93,Switzerland | Randa | Annahmestelle 3928 Randa (VS),Switzerland,open,0,0,3,0,7.782412,46.1002792
96,Switzerland | Mägenwil | Annahmestelle 5506 Mägenwil (AG),Switzerland,open,0,0,0,0,8.2301927,47.4122258
97,Switzerland | Willisau | Annahmestelle 6130 Willisau (LU),Switzerland,open,0,0,0,0,7.99659,47.1215184
101,Switzerland | Unteriberg | Annahmestelle 8842 Unteriberg (SZ),Switzerland,open,0,0,0,0,8.8035271,47.0598018
102,Switzerland | Oberwil-Lieli | Annahmestelle 8966 Oberwil-Lieli (AG),Switzerland,open,0,0,0,0,8.3843501,47.3338992
103,Switzerland | St. Gallen | Annahmestelle 9001 St. Gallen (SG),Switzerland,open,0,0,0,0,9.3762397,47.425618
104,Switzerland | Kreuzlingen | Annahmestelle 8280 Kreuzlingen (TG),Switzerland,open,0,0,0,0,9.1725621,47.6464362
105,Switzerland | Biel/Bienne | Annahmestelle 2500 Biel/Bienne (BE),Switzerland,open,0,0,0,0,7.2439029,47.1402077
107,Germany | Oberhausen | Labdoo Annahmestelle 46117 Oberhausen: Ajdin Halilovic,Germany,open,0,0,36,0,6.8514435,51.4696137
109,Austria | Salzburg | Annahmestelle Salzburg: Amref Austria,Austria,open,0,0,0,0,13.0464806,47.7981346
111,Austria | Salzburg - Gneis | Annahmestelle Salzburg-Gneis: Weltladen Salzburg-Gneis,Austria,open,0,0,0,0,13.0408524,47.7791152
112,Austria | Köstendorf | Annahmestelle Köstendorf: EZA Fairer Handel,Austria,open,0,0,0,0,13.1978045,47.9568047
114,Austria | Innsbruck / Arzl  | Annahmestelle Innsbruck:  Mittelschule Olympisches Dorf,Austria,open,0,0,5,0,11.4297668,47.283434
116,Germany | Duisburg | Labdoo Annahmestelle 47198 Duisburg: Mail Boxes Etc. | AB Druck & Versand GmbH,Germany,open,0,1,25,0,6.759562,51.434999
119,Switzerland | Alpnach | Annahmestelle 6055 Alpnach (OW),Switzerland,open,0,0,0,0,8.2736829,46.9411661
120,Germany | Bergisch Gladbach | Labdoo Annahmestelle 51429 Bergisch Gladbach: Frank Dietz (Freifunk),Germany,open,39,0,60,0,7.1277379,50.9929303
121,Colombia | Bello | Labdoo Hub Medellín / Divergente,Colombia,open,126,8,82,36,-1.4997476,40.922441
124,Germany | Gründau-Lieblos | Labdoo Annahmestelle 63584 Gründau-Lieblos: Malteser Hilfsdienst Kreisgeschäftsstelle Main-Kinzig-Kreis,Germany,open,0,0,12,0,9.1400401,50.2000732
125,Germany | Dortmund | Labdoo Annahmestelle 44263 Dortmund (Hub),Germany,open,45,1,57,0,7.4652789,51.5142273
126,Germany | Hofsingelding | Labdoo Annahmestelle 85457 Hofsingelding: Anna Maria Blau (ADIA Erding e.V.),Germany,open,0,0,16,0,11.8773377,48.2479594
127,Germany | Fulda | Labdoo Annahmestelle 36039 Fulda: Malteser Hilfsdienst Diözesangeschäftsstelle,Germany,open,0,0,4,0,9.6770448,50.5542328
128,Germany | Hofheim am Taunus | Labdoo Annahmestelle 65719 Hofheim am Taunus: Tobias Schmidtke,Germany,open,32,8,672,0,8.42285,50.09494
129,Luxembourg | Luxembourg | EuropaHub Lux,Luxembourg,open,0,0,0,0,6.1296751,49.8158683
131,Switzerland | Dietikon | Annahmestelle 8953 Dietikon (ZH),Switzerland,open,0,0,0,0,8.4030765,47.4050746
132,Switzerland | Stäfa | Annahmestelle 8712 Stäfa (ZH),Switzerland,open,0,0,0,0,8.7348747,47.2413349
134,Spain | Vilafranca del Penedes | Labdoo City Hub Vilafranca del Penedes - Escorxador,Spain,open,1,3,17,0,1.6995213,41.3463825
136,Spain | Barcelona | Labdoo Hub Barcelona BaseTIS,Spain,open,10,0,26,0,2.177073,41.3825802
138,Spain | Berga | Labdoo Hub Berga - Inforber,Spain,open,0,0,0,0,5.3259192,60.3943055
139,Spain | Manresa | Labdoo Hub Manresa - Inforber,Spain,open,0,0,0,0,1.8286765,41.7288939
140,Germany | Düsseldorf | Labdoo Annahmestelle 40233 Düsseldorf - Flingern: AWISTA Kommunal Recyclinghof Flingern,Germany,open,0,38,742,0,6.7763137,51.2254018
141,Spain | Valencia | Labdoo Hub Valencia - Antiguos Alumnos UPV,Spain,open,0,0,11,0,-0.3763353,39.4697065
142,Germany | Werder | Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,Germany,open,8,4,45,0,12.9329125,52.3715809
143,Switzerland | Breitenbach | Annahmestelle 4226 Breitenbach (SO),Switzerland,open,0,0,0,0,7.2930383,48.3657983
144,United States | Lake Forest | TechAnnex ,United States,open,3,0,48,0,-87.8407055,42.2586461
145,Germany | Duisburg | Labdoo Annahmestelle 47167 Duisburg Röttgersbach: Recyclingzentrum Nord Wirtschaftsbetriebe Duisburg,Germany,open,0,0,42,0,6.759562,51.434999
146,Germany | Duisburg | Labdoo Annahmestelle 47053 Duisburg Hochfeld: Recyclinghof Mitte Wirtschaftsbetriebe Duisburg / R(h)einladen,Germany,open,0,19,19,0,6.759562,51.434999
147,Germany | Duisburg | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),Germany,open,0,1,402,0,6.759562,51.434999
149,Greece | Athens | Labdoo Hub Athens,Greece,open,5,0,0,5,-83.376398,33.9597677
152,Dominican Republic | Santo Domingo Este | Labdoo Hub Santo Domingo (Dominican Republic),Dominican Republic,open,0,0,0,0,-69.8383703,18.4936515
153,New Zealand | Auckland | Labdoo Hub Auckland,New Zealand,open,280,34,184,62,174.7631803,-36.852095
155,Spain | Vilafranca del Penedès |  Labdoo City Hub Vilafranca del Penedes - Biblioteca Torras i Bages ,Spain,open,0,5,32,0,1.6995213,41.3463825
159,Germany | Neuss | Labdoo Annahmestelle 41462 Neuss:  Ambulante Hilfen Neuss | Neukirchener Erziehungsverein,Germany,open,0,0,15,0,6.6916476,51.1981778
160,Germany | Neukirchen-Vluyn | Labdoo Annahmestelle 47506 Neukirchen-Vluyn: Neukirchener Erziehungsverein,Germany,open,0,0,1,0,6.5467641,51.4413742
162,Austria | Klagenfurt | Annahmestelle AfB Klagenfurt,Austria,open,0,0,0,0,14.3075976,46.623943
164,United States | Palo Alto | Labdoo Hub-Palo Alto,United States,open,0,0,9,0,-122.1598465,37.4443293
165,Spain | Barcelona | Labdoo Hub - Associació Catalana d’Enginyers de Telecomunicació,Spain,open,0,1,14,0,2.177073,41.3825802
166,Germany | Dietzenbach | Labdoo Annahmestelle 63128 Dietzenbach: Amira Bieber,Germany,open,0,0,9,0,8.784277,50.0171926
167,Germany | Sandhausen | Labdoo Annahmestelle 69207 Sandhausen / Rhein-Neckar: Heinrich Wegener (Hub),Germany,open,129,14,338,0,8.6595053,49.3424055
168,Austria | Wien - Mödling    Annahmestelle Hr. Rossmann | Annahmestelle Rossmann,Austria,open,0,0,6,0,0.0,0.0
169,Spain | Sant Pere de Riudebitlles | Labdoo City Hub Sant Pere de Riudebitlles - Biblioteca Maria Àngels Torrents,Spain,open,0,0,0,0,1.7017388,41.4535893
170,Spain | Sant Quintí de Mediona | Labdoo City Hub Sant Quintí de Mediona - Biblioteca Joan Sardà i Lloret,Spain,open,0,0,0,0,1.6652161,41.4627909
171,Spain | Sant Sadurní d’Anoia | Labdoo City Hub Sant Sadurní d’Anoia - Biblioteca Ramon Bosch de Noya,Spain,open,0,0,0,0,1.7863949,41.4244663
172,Spain | Santa Margarida i els Monjos | Labdoo City Hub Santa Margarida i els Monjos - Biblioteca Santa Margarida i els Monjos,Spain,open,0,0,16,0,1.6623519,41.3213389
173,Spain | Sant Pere de Ribes | Labdoo City Hub Sant Pere de Ribes - Biblioteca Manuel de Pedrolo,Spain,open,0,2,4,0,1.7721357,41.2619218
174,Spain | Sant Pere de Ribes | Labdoo City Hub Sant Pere de Ribes - Biblioteca Josep Pla,Spain,open,0,0,3,0,1.7721357,41.2619218
175,Spain | Sitges | Labdoo City Hub Sitges - Biblioteca Santiago Rusiñol,Spain,open,0,0,0,0,1.8228136,41.2366707
176,Spain | Sitges | Labdoo City Hub Sitges - Biblioteca Josep Roig i Raventós,Spain,open,0,0,2,0,1.8228136,41.2366707
177,Spain | Vilanova i la Geltru | Labdoo City Hub Vilanova i la Geltrú - Biblioteca Joan Oliva i Milà,Spain,open,0,1,2,0,1.7256327,41.2241992
178,Spain | Vilanova i la Geltrú | Labdoo City Hub Vilanova i la Geltrú - Biblioteca Armand Cardona Torrandell ,Spain,open,0,1,4,0,1.7256327,41.2241992
179,Spain | Vilafranca del Penedés | Labdoo Mobile Hub Vilafranca del Penedes - BIBLIOBUS CASTELLOT,Spain,open,0,0,0,0,1.6995213,41.3463825
180,Spain | Vilafranca del Penedés | Labdoo Mobile Hub Vilafranca del Penedes - BIBLIOBUS MONTAU,Spain,open,0,1,0,0,1.6995213,41.3463825
181,"Austria | St. Pölten | EVI  Naturkost, Laptopsammelstelle und Restaurant",Austria,open,0,0,15,0,15.6229118,48.2043985
182,Austria | Röthis | Labdoo Hub Vorarlberg,Austria,open,1,0,0,1,9.6534863,47.2922308
183,Venezuela | Maturin  | Labdoo Hub Venezuela - Maturin,Venezuela,open,0,0,0,0,-63.1888854,9.7422774
184,Germany | Neuss | Labdoo Annahmestelle 41460 Neuss:  SPD Geschäftsstelle Neuss,Germany,open,0,0,29,0,6.6916476,51.1981778
185,Germany | Oberkirchen | Labdoo Annahmestelle 66629 Oberkirchen (Saar): Ehrenamtliches Café Edelstein Heimat- und Verkehrsverein | WEISELBERG e.V.,Germany,open,31,1,41,0,8.3743827,51.1584393
189,Spain | Ourense | Labdoo School Hub Ourense - CIFP A Carballeira-Márcos Valcarcel,Spain,open,15,2,5,8,-7.537124,42.1939629
190,United States | Middlebury | Middlebury College Laptop Hub,United States,open,0,0,0,0,-73.167229,44.014299
191,Spain | Sant Cugat del Vallès | Labdoo City Hub Sant Cugat ,Spain,open,2202,341,1111,750,2.0817809,41.4728432
192,Switzerland | Pfäffikon | Annahmestelle 8808 Pfäffikon (SZ),Switzerland,open,0,0,0,0,8.7819841,47.365582
195,Spain | Madrid | Labdoo School Hub Madrid - IES Arquitecto Ventura Rodríguez,Spain,open,16,0,30,0,-3.703507,40.416782
196,Spain | Badajoz | IES Castelar (Badajoz),Spain,open,0,0,0,0,-6.9701115,38.878187
197,Switzerland | Oberwil-Lieli | ZENTRALLAGER und Aufbereitungsstelle: 8966 Oberwil-Lieli (AG),Switzerland,open,0,0,0,0,8.3843501,47.3338992
199,Switzerland | Hittnau | Annahmestelle 8335 Hittnau (ZH),Switzerland,open,0,0,0,0,8.8233708,47.3682799
200,Spain | Vilanova i la Geltru | Labdoo School Hub Vilanova - Institut Municipal d'Educació i Treball (IMET),Spain,open,0,0,1,0,1.7256327,41.2241992
202,Romania | Santana | Romania Santana Liceul Technologie 'Stefan Hell',Romania,open,0,0,0,0,-44.05064,-12.979217
203,Mongolia | Ulaanbaatar | Labdoo Hub Ulaanbaatar,Mongolia,open,55,0,31,24,106.9177016,47.9184676
205,Spain | Leon | Labdoo Dropping Point Leon España,Spain,open,0,0,1,0,-95.9953382,31.2715127
206,Germany | München | Labdoo Annahmestelle 81245 München: Pasing,Germany,open,9,23,311,0,11.5753822,48.1371079
208,Germany | Bochum | Labdoo Annahmestelle 44799 Bochum: Center for Advanced Internet Studies (CAIS) gGmbH,Germany,open,0,4,19,0,7.2196635,51.4818111
209,Spain | Vilafranca del Penedès | Labdoo School Hub Vilafranca - Institut Alt Penedès,Spain,open,71,2,155,0,1.6995213,41.3463825
210,Spain | Tegueste | Labdoo Hub Canary Islands - Tegueste,Spain,open,0,0,0,0,-16.3407638,28.5232609
212,Germany | Bremen | Labdoo Annahmestelle 28215 Bremen Findorff (Ajimba African Tours) ,Germany,open,0,0,7,0,8.8071646,53.0758196
217,Romania | Saniob | Romania Oradea - Saniob,Romania,open,0,0,0,0,22.1301322,47.2628461
219,Spain | Barcelona | Labdoo School Hub Barcelona - Institut Joan d'Àustria,Spain,open,4,0,4,0,2.177073,41.3825802
220,Switzerland | Rüschlikon | Annahmestelle 8803 Rüschlikon (ZH),Switzerland,open,0,0,0,0,8.5546421,47.307465
221,"Switzerland | Zürich | Annahmestelle 8048 Zürich (ZH), Altstetten",Switzerland,open,0,0,0,0,8.5410422,47.3744489
223,Spain | Antequera | IES. Los Colegiales. Antequera.,Spain,open,0,0,0,0,-4.5596649,37.0183652
224,Germany | München | Labdoo Annahmestelle 80796 München: Schwabing-West,Germany,open,78,1,217,0,11.5753822,48.1371079
225,Spain | Gelida | Labdoo School Hub Gelida - Institut Gelida,Spain,open,0,0,0,0,1.8634309,41.4408877
226,Germany | Kassel | Labdoo Annahmestelle 34134 Kassel (Hub),Germany,open,34,1,96,0,9.4978479,51.3157833
227,Germany | Stade | Labdoo Annahmestelle 21680 Stade (Hub),Germany,open,80,125,348,0,9.475438,53.599794
229,Spain | Cubelles | Labdoo City Hub Cubelles - Biblioteca Municipal Mn Joan Avinyo i Andreu de Cubelles,Spain,open,0,0,2,0,1.6730541,41.2083363
230,Spain | Cubelles | Labdoo City Hub Cubelles - Centre Social Ajuntament de Cubelles,Spain,open,1,0,10,0,1.6730541,41.2083363
231,Spain | Girona | Labdoo Hub Girona - Avgda Lluís Pericot,Spain,open,152,15,115,22,2.8199439,41.9793006
232,Spain | Granollers | Labdoo School Hub Granollers - Escola Pia,Spain,open,10,0,2,8,2.2876008,41.6079555
234,Germany | Wismar | Labdoo Annahmestelle 23968 Wismar - Wendorf,Germany,open,0,0,14,0,11.4647932,53.8909832
236,Spain | Sant Cugat del Vallès | Labdoo School Hub Sant Cugat - Aula de So,Spain,open,25,9,64,0,2.0817809,41.4728432
239,Spain | Esplugues de Llobregat | Labdoo Hub - Esplugues de Llobregat,Spain,open,0,0,9,0,2.0899722,41.3776796
242,Switzerland | Laax | Annahmestelle 7031 Laax (GR),Switzerland,open,0,0,0,0,9.2581267,46.806412
243,Spain | Vilafr | Labdoo City Hub Vilafranca del Penedès - La Nau,Spain,open,4,21,52,0,0.0,0.0
244,Germany | Leipzig | Labdoo Annahmestelle 04229 Leipzig: DATA REVERSE,Germany,open,0,4,69,0,12.3747329,51.3406321
245,Switzerland | Widnau | Annahmestelle 9443 Widnau (SG),Switzerland,open,0,0,0,0,9.6356294,47.4053426
246,Spain | Tarragona | URV-MongolRally-GoCharlieGo,Spain,open,17,3,49,0,1.2546057,41.1172364
248,Spain | Barcelona | Labdoo Hub Casa Orlandai,Spain,open,0,3,114,0,2.177073,41.3825802
249,Germany | Hamburg | Labdoo Annahmestelle 20146 Hamburg - Rotherbaum: Daniel Heydebreck am DKRZ [selten geöffnet],Germany,open,0,3,69,0,10.0013165,53.5501721
251,Switzerland | Berikon | Annahmestelle 8965 Berikon (AG),Switzerland,open,0,0,0,0,8.3701013,47.3528355
252,Switzerland | Trogen | Annahmestelle 9043 Trogen (AR),Switzerland,open,0,0,0,0,9.4650591,47.4079877
253,Spain | Sant Cugat del Vallès | Labdoo City Hub Sant Cugat - Ambiteca ,Spain,open,20,3,1,16,2.0817809,41.4728432
254,Spain | Sant Cugat del Vallès | Labdoo School Hub Sant Cugat - Escola Santa Isabel ,Spain,open,0,0,1,0,2.0817809,41.4728432
255,Spain | Barcelona | Labdoo Hub AUCOOP UPC,Spain,open,48,31,51,0,2.177073,41.3825802
