country,year,trip_count
Austria,2015,2
Austria,2016,5
Austria,2017,10
Austria,2018,7
Austria,2019,4
Austria,2021,2
Austria,2023,2
Belgium,2015,1
Belgium,2018,1
Belgium,2019,1
Belgium,2020,1
Belgium,2021,1
France,2016,1
France,2017,2
France,2018,2
France,2019,1
Germany,2015,61
Germany,2016,117
Germany,2017,184
Germany,2018,222
Germany,2019,289
Germany,2020,147
Germany,2021,191
Germany,2022,259
Germany,2023,322
Germany,2024,277
Germany,2025,254
Germany,2026,44
"Hong Kong S.A.R., China",2017,6
"Hong Kong S.A.R., China",2018,5
"Hong Kong S.A.R., China",2019,2
"Hong Kong S.A.R., China",2020,1
India,2017,1
Ireland,2025,2
Italy,2016,4
Italy,2017,3
Italy,2019,1
Luxembourg,2015,1
Netherlands,2015,1
Netherlands,2019,1
Netherlands,2021,1
Netherlands,2024,1
New Zealand,2016,1
New Zealand,2017,1
New Zealand,2018,2
Poland,2021,1
Spain,2015,2
Spain,2016,16
Spain,2017,20
Spain,2018,20
Spain,2019,26
Spain,2020,9
Spain,2021,8
Spain,2022,10
Spain,2023,13
Spain,2024,18
Spain,2025,7
Spain,2026,1
Sweden,2016,1
Sweden,2022,1
Switzerland,2016,1
Switzerland,2017,1
Switzerland,2018,2
Tanzania,2018,1
United Kingdom,2018,1
United Kingdom,2019,1
United Kingdom,2021,1
United States,2015,1
United States,2016,7
United States,2018,10
United States,2019,11
United States,2020,1
United States,2021,2
