country,devices_stuck
Switzerland,4902
Spain,3378
Germany,2549
United States,322
New Zealand,177
Ghana,175
Taiwan,130
Congo (Kinshasa),81
Tanzania,64
Kenya,60
Zimbabwe,46
Sierra Leone,43
Namibia,39
Cameroon,37
Uganda,35
Gambia,31
United Kingdom,30
Belgium,29
Venezuela,29
Morocco,27
Ukraine,24
Nigeria,24
Mongolia,23
China,23
Australia,22
Austria,22
Mexico,20
Greece,16
South Africa,14
Togo,13
Sweden,12
Zambia,12
Madagascar,12
India,12
"Hong Kong S.A.R., China",10
Lebanon,9
Colombia,8
Senegal,7
Rwanda,6
Cambodia,5
Costa Rica,5
Mozambique,5
Angola,5
Thailand,4
Afghanistan,4
Mali,4
Nepal,3
Italy,3
Vietnam,3
Bolivia,3
Ethiopia,3
uk,2
Argentina,2
Benin,2
Bosnia and Herzegovina,2
Denmark,2
Ecuador,2
Guatemala,2
xx,2
Myanmar,2
Liberia,2
Peru,2
Laos,2
Sri Lanka,1
United Arab Emirates,1
Nicaragua,1
American Samoa,1
Norway,1
Malawi,1
Brazil,1
Congo (Brazzaville),1
Serbia,1
Turkey,1
Luxembourg,1
France,1
South Korea,1
Netherlands,1
Indonesia,1
Syria,1
